Online ISBN,Author,Book Title,Series,Category,Publisher,Product Group,Core Subjects,Cambridge Core DOI/URL
9.78E+12,Cui et al,Big Data over Networks,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Engineering, Computer Science, Communications and Signal Processing, Knowledge Management, Databases and Data Mining",https://doi.org/10.1017/CBO9781316162750
9.78E+12,Eicher/Filippenko,The New Cosmos,,Trade Titles,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Physics And Astronomy, Practical and Amateur Astronomy",https://doi.org/10.1017/CBO9781107706125
9.78E+12,Bulkeley/Cummins,"A Voyage to the South-Seas, in the Years 1740e1",Cambridge Library Collection - Maritime Exploration,Historic,Cambridge University Press,Cambridge Library Collection,"Social Sciences, Geography, History, Historical Geography, Military History, Global History",https://doi.org/10.1017/CBO9781316224748
9.78E+12,Wickham,"Rough Notes of a Journey through the Wilderness, from Trinidad to Pare, Brazil",Cambridge Library Collection - Botany and Horticulture,Historic,Cambridge University Press,Cambridge Library Collection,"Science and Engineering, Life Sciences, Plant Sciences, Natural Resource Management, Agriculture, Horticulture and forestry",https://doi.org/10.1017/CBO9781107261358
9.78E+12,Watt,A Dictionary of the Economic Products of India,Cambridge Library Collection - Botany and Horticulture,Monographs,Cambridge University Press,Cambridge Library Collection,"Science and Engineering, Life Sciences, Plant Sciences, Natural Resource Management, Agriculture, Horticulture and forestry, Botanical Reference",https://doi.org/10.1017/CBO9781107239180
9.78E+12,Heads,Biogeography of Australasia,,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Life Sciences, Molecular Biology, Biochemistry, and Structural Biology, Ecology and Conservation",https://doi.org/10.1017/CBO9781139644464
9.78E+12,Stiles,Trace Elements in Plants,,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Life Sciences, Molecular Biology, Biochemistry, and Structural Biology",https://doi.org/10.1017/CBO9781316530412
9.78E+12,Dirichlet/Dedekind,Vorlesungen uber Zahlentheorie,Cambridge Library Collection - Mathematics,Historic,Cambridge University Press,Cambridge Library Collection,"Science and Engineering, Mathematics, History of Mathematical Texts, Recreational Mathematics, Number Theory",https://doi.org/10.1017/CBO9781139237321
9.78E+12,Lamarck,Histoire naturelle des animaux sans vertebres,Cambridge Library Collection - Zoology,Historic,Cambridge University Press,Cambridge Library Collection,"Science and Engineering, Life Sciences, General Science, Evolutionary Biology, History of Science, Zoology",https://doi.org/10.1017/CBO9781139567473
9.78E+12,Rowan-Robinson,Night Vision,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Physics And Astronomy, History, Philosophy and Foundations of  Physics, Observational Astronomy, Techniques and Instrumentation",https://doi.org/10.1017/CBO9781139176019
